iter	Logloss
0	0.6761933899
1	0.6611961365
2	0.6482292175
3	0.6358508301
4	0.6233252335
5	0.6127688599
6	0.6028063202
7	0.5865158844
8	0.5760397339
9	0.564671402
10	0.5512997437
11	0.5421186829
12	0.5270381165
13	0.5173749542
14	0.507406311
15	0.4993534088
16	0.490188446
17	0.482341156
18	0.4749210739
19	0.4705606842
20	0.4622383881
21	0.4545146561
22	0.4498300171
23	0.439230423
24	0.4337324524
25	0.4288962173
26	0.4224433136
27	0.4158679962
28	0.410614357
29	0.4051522446
30	0.4004901123
31	0.3938313293
32	0.3882029724
33	0.384826355
34	0.378517189
35	0.3744786072
36	0.3696353149
37	0.365245018
38	0.361306839
39	0.356780777
40	0.3517783356
41	0.3477491379
42	0.344647522
43	0.3414497375
44	0.3386215973
45	0.3357055664
46	0.3311841583
47	0.326180191
48	0.3230127335
49	0.3185072327
50	0.3128949165
51	0.310328064
52	0.3073138237
53	0.3056675529
54	0.3018275833
55	0.2992712021
56	0.2966054535
57	0.293848114
58	0.2915920639
59	0.2892832947
60	0.2876302719
61	0.2860191917
62	0.2843518066
63	0.2818481064
64	0.2790402603
65	0.2765474701
66	0.2750670052
67	0.2727948189
68	0.2717472076
69	0.2686532974
70	0.2651288986
71	0.262907238
72	0.261482296
73	0.2595273972
74	0.2585767555
75	0.2571506882
76	0.2552474785
77	0.252717247
78	0.2506339264
79	0.248666954
80	0.2470338631
81	0.2464393425
82	0.2448650932
83	0.2433937073
84	0.2411467361
85	0.2385256004
86	0.2367274857
87	0.2352932167
88	0.2335596275
89	0.2329720879
90	0.2292651749
91	0.2281238747
92	0.2264445686
93	0.2245287132
94	0.2231814957
95	0.2216466141
96	0.2193113708
97	0.2175527191
98	0.2163295746
99	0.2149874115
100	0.2132120514
101	0.212857933
102	0.2120128059
103	0.2107427788
104	0.2100389099
105	0.208105011
106	0.2066338158
107	0.2054065323
108	0.2040675735
109	0.2034505081
110	0.2013475609
111	0.200310173
112	0.1987369537
113	0.1971324539
114	0.1964299774
115	0.1955228615
116	0.1942719078
117	0.1938359833
118	0.1927016449
119	0.1914548492
120	0.191139946
121	0.1891353989
122	0.1878748703
123	0.1862962341
124	0.1857192993
125	0.1851978111
126	0.183695507
127	0.1822524071
128	0.1814506721
129	0.1810949326
130	0.1807023621
131	0.1792506027
132	0.1779036522
133	0.1770992661
134	0.1757879639
135	0.1750529861
136	0.1748554993
137	0.1739062119
138	0.1734486961
139	0.1727561188
140	0.1722990608
141	0.1720994949
142	0.170891304
143	0.1693470383
144	0.1688679886
145	0.1675956154
146	0.1667085266
147	0.165875473
