iter	Passed	Remaining
0	2	1054
1	4	935
2	6	887
3	8	865
4	10	853
5	12	843
6	14	840
7	17	839
8	19	831
9	21	825
10	23	824
11	25	818
12	27	815
13	29	812
14	31	811
15	33	808
16	35	807
17	37	804
18	40	802
19	42	800
20	44	797
21	46	794
22	48	791
23	50	789
24	52	787
25	54	785
26	56	783
27	58	781
28	60	778
29	62	775
30	64	773
31	67	770
32	69	769
33	71	768
34	73	765
35	75	763
36	77	762
37	79	761
38	82	759
39	84	756
40	86	753
41	88	751
42	90	749
43	92	746
44	94	744
45	96	741
46	98	739
47	100	736
48	102	734
49	104	732
50	106	730
51	108	728
52	110	726
53	113	724
54	115	721
55	117	719
56	119	717
57	121	715
58	123	713
59	125	711
60	127	709
61	129	708
62	132	706
63	134	704
64	136	702
65	138	700
66	141	705
67	144	704
68	146	702
69	148	700
70	150	698
71	152	696
72	154	694
73	157	692
74	159	689
75	161	687
76	163	685
77	165	682
78	167	680
79	169	678
80	171	676
81	173	673
82	175	671
83	177	669
84	180	667
85	182	665
86	184	663
87	186	660
88	188	658
89	190	656
90	192	654
91	194	651
92	196	649
93	198	647
94	200	644
95	202	642
96	205	640
97	207	638
98	209	636
99	211	633
100	213	631
101	215	629
102	217	627
103	219	624
104	221	622
105	223	620
106	225	618
107	228	616
108	230	614
109	232	612
110	234	610
111	236	607
112	238	606
113	240	604
114	242	602
115	245	599
116	247	597
117	249	595
118	251	593
119	253	591
120	255	588
121	257	586
122	259	584
123	261	582
124	263	580
125	266	578
126	268	576
127	270	574
128	273	573
129	275	572
130	277	570
131	279	568
132	282	566
133	284	564
134	286	561
135	288	559
136	290	557
137	292	555
138	294	553
139	296	550
140	298	548
141	300	546
142	303	544
143	305	542
144	307	540
145	309	538
146	311	536
147	313	534
148	316	532
149	318	530
150	320	527
151	322	525
152	324	523
153	326	521
154	328	519
155	330	517
156	332	515
157	335	513
158	337	511
159	339	509
160	341	507
161	343	505
162	346	503
163	348	501
164	350	499
165	352	497
166	354	495
167	357	493
168	359	491
169	361	489
170	363	487
171	366	485
172	368	483
173	370	481
174	372	479
175	376	478
176	379	478
177	383	478
178	385	475
179	387	473
180	389	471
181	392	469
182	394	467
183	396	465
184	398	463
185	400	460
186	402	458
187	404	456
188	408	455
189	410	454
190	413	452
191	415	449
192	417	447
193	419	445
194	421	443
195	423	440
196	425	438
197	427	436
198	429	434
199	431	431
200	434	429
201	436	427
202	438	425
203	440	423
204	442	421
205	444	418
206	446	416
207	449	414
208	451	412
209	453	410
210	455	407
211	457	405
212	459	403
213	461	401
214	463	399
215	465	396
216	468	394
217	470	392
218	472	390
219	474	388
220	476	385
221	478	383
222	480	381
223	482	379
224	484	377
225	486	374
226	489	372
227	491	370
228	493	368
229	495	366
230	497	364
231	499	361
232	501	359
233	503	357
234	506	355
235	508	353
236	510	350
237	512	348
238	514	346
239	516	344
240	518	342
241	520	339
242	522	337
243	524	335
244	526	333
245	529	331
246	531	329
247	533	326
248	535	324
249	537	322
250	539	320
251	541	318
252	544	316
253	546	313
254	548	311
255	550	309
256	552	307
257	554	305
258	556	303
259	559	301
260	561	298
261	563	296
262	565	294
263	567	292
264	569	290
265	571	288
266	573	285
267	576	283
268	578	281
269	580	279
270	582	277
271	584	275
272	587	273
273	589	271
274	591	268
275	593	266
276	595	264
277	597	262
278	599	260
279	602	258
280	604	255
281	606	253
282	608	251
283	610	249
284	612	247
285	614	245
286	616	242
287	618	240
288	620	238
289	623	236
290	625	234
291	628	232
292	630	230
293	632	228
294	635	226
295	637	224
296	639	221
297	642	219
298	644	217
299	646	215
300	648	213
301	650	211
302	653	209
303	655	206
304	657	204
305	659	202
306	661	200
307	663	198
308	665	195
309	667	193
310	669	191
311	671	189
312	673	187
313	675	185
314	678	182
315	680	180
316	682	178
317	684	176
318	686	174
319	688	172
320	690	170
321	693	167
322	695	165
323	697	163
324	699	161
325	701	159
326	703	157
327	705	154
328	707	152
329	709	150
330	711	148
331	713	146
332	715	144
333	718	141
334	720	139
335	722	137
336	724	135
337	726	133
338	728	131
339	730	128
340	733	126
341	737	124
342	741	123
343	743	121
344	747	119
345	751	117
346	754	115
347	757	113
348	760	111
349	763	109
350	765	106
351	769	104
352	772	102
353	775	100
354	780	98
355	785	97
356	787	94
357	791	92
358	796	90
359	798	88
360	802	86
361	806	84
362	809	82
363	812	80
364	816	78
365	818	76
366	821	73
367	824	71
368	826	69
369	831	67
370	834	65
371	837	63
372	842	60
373	848	58
374	850	56
375	855	54
376	859	52
377	863	50
378	867	48
379	870	45
380	873	43
381	877	41
382	880	39
383	883	36
384	887	34
385	891	32
386	895	30
387	899	27
388	902	25
389	906	23
390	910	20
391	913	18
392	916	16
393	920	14
394	923	11
395	926	9
396	929	7
397	934	4
398	940	2
399	945	0
